City_ID,City,Country,Max Temp,Current Weather,Lat,Long,Hotel Name
0,Los Llanos De Aridane,ES,66.2,broken clouds,28.6585,-17.9182,Valle Aridane
1,Ushuaia,AR,51.8,few clouds,-54.8,-68.3,Albatros Hotel
2,Marin,US,50.0,overcast clouds,38.0666,-122.7344,Danehill Manor
4,Mataura,NZ,48.0,scattered clouds,-46.1927,168.8643,Ellie's Villa
7,Mar Del Plata,AR,64.4,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
10,Penzance,GB,50.0,overcast clouds,50.1186,-5.5371,Artist Residence Penzance
12,Portland,US,45.0,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
13,Dehloran,IR,52.97,clear sky,32.6941,47.2679,کافه گیم استورم
15,Severo-Kurilsk,RU,23.54,snow,50.6789,156.125,Kak Doma
16,Merritt Island,US,71.6,broken clouds,28.5392,-80.672,
17,Bredasdorp,ZA,71.01,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
18,Vaini,TO,73.4,light rain,-21.2,-175.2,Keleti Beach Resort
23,Vestmannaeyjar,IS,32.0,broken clouds,63.4427,-20.2734,Glamping & Camping
25,Northam,GB,42.01,light rain,51.0333,-4.2167,Durrant House Hotel
26,Hilo,US,66.2,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
28,Ruidoso,US,37.4,clear sky,33.3317,-105.67299999999999,Inn of the Mountain Gods
29,Port Elizabeth,ZA,69.8,clear sky,-33.918,25.5701,39 On Nile Guest House
30,Kodiak,US,32.0,clear sky,57.79,-152.4072,Best Western Kodiak Inn and Convention Center
31,Oxbow,CA,19.99,overcast clouds,49.2333,-102.1676,Bow Manor Motor Hotel
33,Punta Arenas,CL,57.2,scattered clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
34,Jijiga,ET,64.67,clear sky,9.35,42.8,RAMAAS HOTEL
36,Ponta Do Sol,PT,64.0,scattered clouds,32.6667,-17.1,Hotel do Campo
37,Mayna,RU,20.5,scattered clouds,54.1135,47.6231,Gostinnitsa
44,Narsaq,GL,41.0,broken clouds,60.9167,-46.05,Hotel Narsaq
45,Kashi,CN,24.8,clear sky,39.4547,75.9797,帕米尔青年旅舍
47,New Norfolk,AU,53.01,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
48,Albany,US,17.01,clear sky,42.6001,-73.9662,
49,Lagoa,PT,62.37,clear sky,39.05,-27.9833,Casa Das Faias
50,Hermanus,ZA,71.01,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
51,Shimoda,JP,35.01,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
52,Jamestown,US,25.0,light snow,42.097,-79.2353,Hampton Inn & Suites Jamestown
54,East London,ZA,73.4,scattered clouds,-33.0153,27.9116,Tu Casa
55,Consett,GB,36.0,overcast clouds,54.854,-1.8316,Derwent Manor Hotel BW Premier Collection
58,Makakilo City,US,71.6,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
61,Nhlangano,SZ,69.42,moderate rain,-27.1167,31.2,Nhlangano BnB
64,Vinh,VN,65.25,overcast clouds,18.6667,105.6667,Hotels Shanghai
65,Nikolskoye,RU,28.0,light snow,59.7035,30.7861,Tourist House - Sablino
68,Port Alfred,ZA,69.01,clear sky,-33.5906,26.891,The Halyards Hotel
69,Skegness,GB,37.4,broken clouds,53.1436,0.3363,The Royal Hotel
70,Codrington,AU,55.89,few clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
71,Rawa Mazowiecka,PL,30.0,overcast clouds,51.7644,20.2549,Obiekt Tatar - Usługi hotelarskie
72,Hobart,AU,53.01,clear sky,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
74,Yumen,CN,24.51,clear sky,40.2833,97.2,
75,Yamada,JP,25.0,clear sky,39.4667,141.95,Iroha-ya Inn
77,Shiyan,CN,47.17,broken clouds,32.6475,110.7781,Fenghuang Garden Holiday Hotel
79,Ancud,CL,66.2,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
80,Esperance,AU,59.0,clear sky,-33.8667,121.9,Hospitality Esperance
82,Bluff,NZ,48.0,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
85,Port Lincoln,AU,59.63,clear sky,-34.7333,135.8667,Port Lincoln Hotel
90,Thompson,CA,12.2,light snow,55.7435,-97.8558,Burntwood Hotel
91,Lompoc,US,48.0,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
94,Olafsvik,IS,23.52,scattered clouds,64.8945,-23.7142,Hotel Olafsvik
96,Airai,TL,61.68,overcast clouds,-8.9266,125.4092,Juvinal Martin
100,Kapaa,US,71.6,moderate rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
101,Ninotsminda,GE,24.8,few clouds,41.2646,43.5916,Hotel - Ninotsminda
102,Castro,BR,72.63,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
103,Bethel,US,21.99,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
106,Busselton,AU,68.0,clear sky,-33.65,115.3333,Observatory Guest House
107,Faya,SA,60.8,clear sky,18.3851,42.4509,مقبرة ال مجمل
111,New York,US,28.4,clear sky,40.7143,-74.006,Hotel Pennsylvania
113,Bemidji,US,26.01,overcast clouds,47.4736,-94.8803,Hampton Inn & Suites Bemidji
114,Tuatapere,NZ,48.0,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
116,Laredo,US,71.6,few clouds,27.5064,-99.5075,La Quinta Inn by Wyndham Laredo I-35
117,Ketchikan,US,35.6,light rain,55.3422,-131.6461,Snows Cove Lodge
118,Ozinki,RU,23.27,overcast clouds,51.1786,49.6769,at Rest
119,Ribeira Grande,PT,64.4,broken clouds,38.5167,-28.7,Quinta da Meia Eira
120,Avera,US,50.0,clear sky,33.194,-82.5271,
121,Rockland,US,26.01,clear sky,41.1668,-74.0496,National Camp Association
122,Ilulissat,GL,3.2,scattered clouds,69.2167,-51.1,Hotel Arctic
124,Nevelsk,RU,10.4,broken clouds,46.6733,141.8633,Gostinitsa Viktoriya
125,Yabrud,SY,44.6,broken clouds,33.9674,36.6574,صالون مها حيدر - Salon Maha
126,Lerik,AZ,44.6,overcast clouds,38.7726,48.4128,Hotel Lerik
127,Mut,TR,46.76,moderate rain,36.6439,33.4389,Konak Otel
129,Linjiang,CN,1.47,few clouds,41.8069,126.9078,Mingmen Business Hotel
130,San Quintin,MX,57.83,clear sky,30.4833,-115.95,Old Mill Hotel
131,Castrillon,ES,51.8,scattered clouds,43.3979,-6.7922,HR PALACIO DE PRELO 4 estrellas
132,Den Helder,NL,33.01,overcast clouds,52.9599,4.7593,Hotel Den Helder
133,Laguna,US,48.99,overcast clouds,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
134,Kaitangata,NZ,45.0,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
136,Ploemeur,FR,51.8,light rain,47.7333,-3.4333,Best Western Plus Hotel Les Rives Du Ter
139,Amboise,FR,51.01,overcast clouds,47.4125,0.9827,Hotel Amboise Le Blason
142,Tasiilaq,GL,15.8,broken clouds,65.6145,-37.6368,The Red House
143,Te Anau,NZ,43.03,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
144,Nemuro,JP,22.05,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
146,Katsuura,JP,41.0,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
148,La Rioja,ES,41.0,few clouds,42.25,-2.5,Casa Concejos
150,Neka,IR,50.65,broken clouds,36.6508,53.299,اپارتمان قومش
151,Kruisfontein,ZA,71.01,clear sky,-34.0033,24.7314,Oyster Bay House Rental
152,Basco,PH,69.87,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
154,Juan Lacaze,UY,71.6,moderate rain,-34.4342,-57.4381,Posada Agreste
155,Wilmington,US,43.0,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
160,Marsh Harbour,BS,65.62,broken clouds,26.5412,-77.0636,Abaco Beach Resort
161,Awbari,LY,61.72,clear sky,26.5921,12.7805,فندق أوباري
162,Hobara,JP,28.99,light snow,37.8167,140.55,高子荘
164,Juegang,CN,48.99,overcast clouds,32.3174,121.1855,Rudong Y Hotel
166,Kenai,US,16.0,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
170,Sur,OM,67.6,clear sky,22.5667,59.5289,Sur Plaza Hotel
171,Qui Nhon,VN,72.12,scattered clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
175,Saint Anthony,US,30.99,light snow,45.0205,-93.21799999999999,Holiday Inn Express Roseville-St. Paul
176,Pinyug,RU,25.68,light snow,60.251000000000005,47.7842,
177,Sinalunga,IT,54.0,overcast clouds,43.2152,11.7495,I Girasoli
179,Karpathos,GR,64.4,few clouds,35.507,27.2132,Alex
180,Barcelos,PT,55.4,scattered clouds,41.5388,-8.6151,Hotel Do Terço
181,Sitka,US,37.4,broken clouds,57.0531,-135.33,Westmark Sitka
182,Paamiut,GL,31.15,overcast clouds,61.994,-49.6678,Yeet Hotel
183,Broome,US,19.0,light snow,42.2506,-75.833,Chenango Valley State Park
187,Mayo,US,35.01,clear sky,38.8876,-76.5119,Resorts Resource Group International
188,Lianran,CN,50.0,clear sky,24.9227,102.485,Jinzhouwan Hotel
190,Carndonagh,IE,37.99,overcast clouds,55.25,-7.2667,Tigín Tuí
191,Goderich,CA,26.6,overcast clouds,43.7501,-81.7165,Harmony Inn
196,Saint-Francois,FR,51.8,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
199,Pangkalanbuun,ID,74.5,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
200,Cabo San Lucas,MX,73.99,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
202,Cockburn Town,TC,72.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
206,Saldanha,ZA,67.3,clear sky,-33.0117,17.9442,Blue Bay Lodge
212,Grindavik,IS,26.6,scattered clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
215,San Fernando,PH,68.0,broken clouds,15.0286,120.6898,Maharlika Hostel
217,Naze,JP,51.26,clear sky,28.3667,129.4833,奄美ポートタワーホテル
218,Marsala,IT,57.2,scattered clouds,37.7966,12.4352,Villa Favorita Hotel e Resort
220,Monterey,US,45.0,broken clouds,36.2505,-121.2516,
221,Mecca,SA,71.08,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
223,Lahan,NP,53.78,clear sky,26.7296,86.4951,Hotel Durbar Pvt. Ltd.
224,La Ronge,CA,8.6,broken clouds,55.1001,-105.2842,Northland Motor Hotel
227,Ajaccio,FR,57.2,moderate rain,42.0,8.9167,Sole E Monte
229,Torbay,CA,30.99,overcast clouds,47.6666,-52.7314,Gallows Cove
231,Palmer,US,21.0,few clouds,42.1584,-72.3287,Wedgewood Motel
232,Otane,NZ,46.99,clear sky,-39.8833,176.6333,Ludlow Farmstay
233,Ponta Delgada,PT,64.99,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
234,Qazax,AZ,42.75,broken clouds,41.0933,45.3661,Hotel Gazah Azpetrol
235,Sarakhs,IR,59.0,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
239,Fort-Shevchenko,KZ,36.68,overcast clouds,44.5086,50.263000000000005,Oasis hotel Bautino
241,Ostrovnoy,RU,11.64,light snow,68.0531,39.5131,
243,Vytegra,RU,21.9,overcast clouds,61.0064,36.4481,Wardenclyffe Volgo&Balt
244,Sept-Iles,CA,18.0,few clouds,50.2001,-66.3821,Comfort Inn
245,Palora,EC,71.6,light rain,-1.7,-77.9333,Rancho grande
246,Gazli,UZ,52.25,overcast clouds,40.1333,63.45,
247,Gornyak,RU,8.26,clear sky,50.9942,81.4661,Komfort
248,Ahipara,NZ,55.22,clear sky,-35.1667,173.1667,Ahipara Holiday Park
249,Coquimbo,CL,68.0,few clouds,-29.9533,-71.3436,Hotel San Juan
251,Rio Gallegos,AR,64.4,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
252,Lebu,CL,62.31,clear sky,-37.6167,-73.65,Hostal Las Lilas
255,Nago,JP,59.0,broken clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
257,Key Largo,US,71.01,scattered clouds,25.0865,-80.4473,Bayside Inn Key Largo
259,Sonthofen,DE,37.99,light rain,47.5167,10.2833,Allgäu Stern Hotel - Sonthofen
261,Buraydah,SA,57.2,clear sky,26.326,43.975,Mövenpick Hotel Qassim
263,Riyadh,SA,62.6,clear sky,24.6877,46.7219,InterContinental Riyadh
264,Victoria,HK,62.01,clear sky,22.2855,114.1577,Mini Hotel Central
265,Nalut,LY,62.22,clear sky,30.3333,10.85,
266,Soe,ID,68.25,overcast clouds,-9.8607,124.28399999999999,Dena Hotel
268,Curup,ID,67.82,overcast clouds,-3.4667,102.5333,Ayi The Costel
269,Samarkand,UZ,53.6,scattered clouds,39.6542,66.9597,Ideal Hotel
270,Siniscola,IT,62.6,few clouds,40.5719,9.6922,Hotel Sa Tanca E Bore
272,Kahului,US,68.0,light rain,20.8947,-156.47,Maui Seaside Hotel
