,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
0,Goderich,CA,2021-01-27 12:46:32,43.7501,-81.7165,24.8,86,100,12.66
1,Punta Arenas,CL,2021-01-27 12:49:57,-53.15,-70.9167,41.0,87,75,16.11
2,Chuy,UY,2021-01-27 12:50:42,-33.6971,-53.4616,78.91,67,24,5.35
3,Kargil,IN,2021-01-27 12:50:42,34.5667,76.1,-4.68,74,41,2.37
4,Kuytun,RU,2021-01-27 12:50:42,54.3419,101.5036,-16.4,86,100,9.62
5,Hithadhoo,MV,2021-01-27 12:50:43,-0.6,73.0833,82.02,75,100,11.27
6,Biga,TR,2021-01-27 12:50:26,40.2281,27.2422,33.6,94,100,15.39
7,Calatayud,ES,2021-01-27 12:50:44,41.3535,-1.6432,69.8,43,0,8.05
8,Iskateley,RU,2021-01-27 12:50:44,67.6803,53.1512,-8.64,86,100,14.29
9,Vaini,TO,2021-01-27 12:50:44,-21.2,-175.2,77.0,94,90,6.91
10,Atuona,PF,2021-01-27 12:50:44,-9.8,-139.0333,78.04,76,1,17.02
11,Deputatskiy,RU,2021-01-27 12:50:44,69.3,139.9,-33.83,85,100,0.85
12,Port Alfred,ZA,2021-01-27 12:50:45,-33.5906,26.891,71.01,86,100,5.01
13,Kinna,SE,2021-01-27 12:50:46,57.5073,12.6946,35.01,93,90,3.44
14,Ambilobe,MG,2021-01-27 12:50:46,-13.2,49.05,82.29,79,94,5.91
15,East London,ZA,2021-01-27 12:50:46,-33.0153,27.9116,66.2,94,40,14.97
16,Saint-Augustin,CA,2021-01-27 12:50:47,51.226,-58.6502,12.52,92,33,8.97
17,Iralaya,HN,2021-01-27 12:50:47,15.0,-83.2333,77.81,81,92,11.99
18,Bathsheba,BB,2021-01-27 12:50:48,13.2167,-59.5167,78.8,73,75,18.41
19,Hilo,US,2021-01-27 12:50:48,19.7297,-155.09,68.0,88,90,16.11
20,Ushuaia,AR,2021-01-27 12:48:07,-54.8,-68.3,39.2,70,90,17.27
21,Torbay,CA,2021-01-27 12:50:48,47.6666,-52.7314,32.0,86,90,14.97
22,Swidwin,PL,2021-01-27 12:50:49,53.7746,15.7767,35.01,89,9,7.67
23,Khatanga,RU,2021-01-27 12:50:49,71.9667,102.5,-28.44,80,0,8.84
24,Busselton,AU,2021-01-27 12:50:49,-33.65,115.3333,60.01,61,0,3.0
25,Thompson,CA,2021-01-27 12:50:50,55.7435,-97.8558,-29.2,75,20,2.3
26,Coquimbo,CL,2021-01-27 12:50:50,-29.9533,-71.3436,60.8,88,75,6.91
27,Cape Town,ZA,2021-01-27 12:49:32,-33.9258,18.4232,75.2,41,20,27.63
28,Saint Anthony,US,2021-01-27 12:50:50,45.0205,-93.218,10.4,56,90,6.91
29,Port Hardy,CA,2021-01-27 12:50:51,50.6996,-127.4199,39.2,81,90,14.97
30,Puerto Ayora,EC,2021-01-27 12:46:24,-0.7393,-90.3518,77.0,93,88,4.0
31,Mahina,PF,2021-01-27 12:50:51,-17.5065,-149.489,75.2,83,0,3.44
32,New Norfolk,AU,2021-01-27 12:50:52,-42.7826,147.0587,55.0,64,66,1.01
33,Iqaluit,CA,2021-01-27 12:50:52,63.7506,-68.5145,-13.0,77,1,9.89
