,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,72,75,16.11,broken clouds
1,Ushuaia,AR,-54.8,-68.3,51.8,62,20,26.46,few clouds
2,Marin,US,38.0666,-122.7344,50.0,93,90,4.65,overcast clouds
3,Tautira,PF,-17.7333,-149.15,78.8,69,75,5.75,light rain
4,Mataura,NZ,-46.1927,168.8643,48.0,80,50,8.01,scattered clouds
5,Arraial Do Cabo,BR,-22.9661,-42.0278,93.2,48,0,19.57,clear sky
6,Iqaluit,CA,63.7506,-68.5145,-9.0,70,20,16.11,snow
7,Mar Del Plata,AR,-38.0023,-57.5575,64.4,55,90,23.02,overcast clouds
8,Meulaboh,ID,4.1363,96.1285,76.37,82,78,4.56,moderate rain
9,Baruun-Urt,MN,46.6806,113.2792,-0.85,93,82,4.34,broken clouds
10,Penzance,GB,50.1186,-5.5371,50.0,93,90,26.46,overcast clouds
11,Zaysan,KZ,47.4667,84.8667,-0.78,86,74,2.17,broken clouds
12,Portland,US,45.5234,-122.6762,45.0,81,90,19.57,overcast clouds
13,Dehloran,IR,32.6941,47.2679,52.97,48,3,10.31,clear sky
14,Ayan,RU,56.45,138.1667,-4.07,83,100,3.02,overcast clouds
15,Severo-Kurilsk,RU,50.6789,156.125,23.54,96,100,29.64,snow
16,Merritt Island,US,28.5392,-80.672,71.6,46,75,6.91,broken clouds
17,Bredasdorp,ZA,-34.5322,20.0403,71.01,77,0,5.01,clear sky
18,Vaini,TO,-21.2,-175.2,73.4,94,90,4.61,light rain
19,Auki,SB,-8.7676,160.7034,79.3,85,98,10.0,overcast clouds
20,Cherskiy,RU,68.75,161.3,-35.07,83,5,3.8,clear sky
21,Yaan,NG,7.3833,8.5667,94.93,10,0,4.92,clear sky
22,Cape Town,ZA,-33.9258,18.4232,75.99,60,20,12.66,few clouds
23,Vestmannaeyjar,IS,63.4427,-20.2734,32.0,80,75,12.66,broken clouds
24,Faanui,PF,-16.4833,-151.75,80.44,69,70,1.86,broken clouds
25,Northam,GB,51.0333,-4.2167,42.01,93,100,15.99,light rain
26,Hilo,US,19.7297,-155.09,66.2,94,90,5.75,moderate rain
27,Abeche,TD,13.8292,20.8324,81.66,16,0,9.8,clear sky
28,Ruidoso,US,33.3317,-105.673,37.4,32,1,10.36,clear sky
29,Port Elizabeth,ZA,-33.918,25.5701,69.8,78,0,10.36,clear sky
30,Kodiak,US,57.79,-152.4072,32.0,55,1,25.32,clear sky
31,Oxbow,CA,49.2333,-102.1676,19.99,93,100,3.0,overcast clouds
